"c1"|"c2"
1117|1000
2960|1000
564|0
1979|3000
853|0
200|1000
909|1000
1955|1000
204|2000
365|0
1026|0
1273|1000
1967|1000
1077|1000
409|1000
1474|1000
1931|0
360|2000
1441|2000
183|1000
1508|3000
2756|0
764|1000
3731|0
951|0
194|1000
1233|2000
1887|1000
863|0
2288|2000
77|0
296|0
133|1000
1212|2000
2047|1000
298|1000
2230|2000
502|0
414|0
2067|0
2856|0
287|4000
512|1000
1163|1000
1754|1000
2002|2000
1326|1000
966|1000
2037|0
2157|0
3067|1000
725|2000
1070|1000
4730|2000
902|0
712|0
605|2000
260|1000
1277|0
1863|0
401|0
1029|0
1172|0
9|0
1759|2000
2493|1000
699|1000
816|0
1602|1000
2172|2000
1003|2000
837|1000
346|0
1069|4000
1042|1000
526|1000
2004|1000
705|0
75|1000
1333|2000
1196|2000
628|1000
2478|2000
2435|1000
1714|0
2265|0
818|1000
819|0
30|2000
730|2000
1462|3000
1405|1000
769|1000
87|0
1639|1000
1888|1000
906|0
2245|1000
1894|2000
233|2000
468|4000
29|0
165|1000
2085|1000
793|1000
1291|0
224|1000
1351|2000
230|0
326|0
173|0
1132|2000
161|2000
24|1000
75|0
1749|1000
612|1000
1018|0
943|2000
759|1000
1858|0
1385|0
1424|1000
1388|1000
44|1000
444|0
612|0
1152|2000
2149|0
980|2000
2089|0
1730|2000
842|0
1310|0
338|3000
1166|1000
651|0
1076|1000
2914|3000
1522|1000
153|3000
191|0
1458|1000
270|3000
1695|0
213|1000
346|0
1989|0
755|2000
107|1000
122|0
1226|0
1444|1000
694|2000
611|0
1387|1000
2119|0
71|0
457|2000
1634|1000
944|2000
1139|0
346|2000
503|1000
1233|0
1982|2000
499|0
165|2000
191|0
234|1000
875|1000
400|0
1039|1000
1741|0
1931|1000
2179|0
1005|1000
1180|0
981|1000
1982|0
185|2000
1165|3000
385|1000
939|1000
1500|3000
1896|3000
987|1000
2329|1000
353|1000
319|0
144|0
1136|2000
286|1000
868|2000
684|3000
3930|2000
1327|2000
1504|0
360|0
81|0
954|0
628|0
663|1000
2611|2000
2486|2000
509|1000
2760|0
1430|0
1840|1000
1050|0
573|1000
962|0
485|2000
384|0
413|1000
3863|3000
3262|0
283|0
3001|3000
844|2000
990|1000
340|2000
720|0
1187|0
365|3000
2252|0
1709|3000
1302|1000
498|0
796|1000
1511|1000
1757|0
918|1000
1625|2000
1868|0
197|2000
691|2000
1669|0
2489|1000
208|2000
2395|0
1109|1000
2702|0
149|1000
1015|1000
2705|1000
1607|1000
1762|2000
1941|0
95|1000
2061|0
776|0
1488|0
787|1000
169|1000
321|2000
891|0
848|0
1635|1000
2556|1000
315|1000
316|0
1127|0
65|0
1435|1000
1824|1000
567|2000
904|3000
3084|1000
949|0
31|0
933|1000
562|0
90|3000
187|1000
1644|2000
2523|1000
1474|1000
90|1000
1253|0
878|2000
3026|0
1281|0
1363|0
17|2000
659|2000
1802|2000
13|1000
636|1000
494|1000
707|0
1678|1000
2010|1000
119|0
1666|1000
1211|1000
1859|2000
160|2000
1891|2000
1904|2000
552|0
925|1000
721|0
692|2000
209|1000
655|5000
1397|2000
365|1000
903|0
937|0
609|0
763|2000
1653|2000
683|0
31|1000
596|2000
809|0
1358|3000
1043|1000
656|0
1085|0
70|2000
1287|1000
3480|1000
743|3000
990|0
795|0
1129|2000
2111|3000
1276|2000
1131|1000
